Sid,306323850028000/9400000004057
Racket,7562293608000/723076923389
(Michael Sid),87887033106200/9400000004057
Ben,56353695600000/9400000004057
Noah,37363030154800/9400000004057
typed-stack,28530162507400/9400000004057
Stephen,26586931621400/9400000004057
adjutor,21375539708400/9400000004057
mischief,21375539708400/9400000004057
Jay,17842392653200/9400000004057
Michael,15722504418200/9400000004057
rackunit,12189357353600/9400000004057
(Ben Sid),9186182354800/9400000004057
Cassie,8391224266440/9400000004057
Sam,7684594854460/9400000004057
Kasivajhula 2014-,7331280148000/9400000004057
Sergiu,6889636766100/9400000004057
greg-racket-makefile,6094678677740/9400000004057
Laurent,5476377942140/9400000004057
Nia,400876301000/723076923389
metapict,5123063236620/9400000004057
cover,5123063236620/9400000004057
Haskell,4946405882920/9400000004057
Scheme,4946405882920/9400000004057
Bogdan,4593091177400/9400000004057
racket-collections,4063119118180/9400000004057
cover-coveralls,4063119118180/9400000004057
relation,4063119118180/9400000004057
(Jesse William),3798133089040/9400000004057
APL,3798133089040/9400000004057
Anonymous,3709804412660/9400000004057
Threading macro,3709804412660/9400000004057
pipeR,3709804412660/9400000004057
Clojure,3444818382580/9400000004057
Rash,3091503677060/9400000004057
Lisp,3091503677060/9400000004057
Symex,2384874265080/9400000004057
Debug,2031559559560/9400000004057
Soegaard,2031559559560/9400000004057
1e1001,1943230882240/9400000004057
Scratch (MIT),1943230882240/9400000004057
VHDL,1854902205860/9400000004057
Verilog,1854902205860/9400000004057
Hsiao-Peng et. al. 1999,1854902205860/9400000004057
jo-sm,1854902205860/9400000004057
Unix pipelines,1854902205860/9400000004057
Scala,1854902205860/9400000004057
Erlang,1854902205860/9400000004057
Ballantyne et al 2020,1501587500340/9400000004057
(Sorawee Jack),1413258823960/9400000004057
Sarna,101917703660/723076923389
ML,1236601471200/9400000004057
Hughes 2000,1148272793880/9400000004057
Vim,1148272793880/9400000004057
Python,353314705990/9400000004057
Ruby,441643382464/9400000004057
Vijay,313235562304/9400000004057
